iter	Passed	Remaining
439	1333	1990
440	1335	1987
441	1338	1983
442	1341	1980
443	1344	1977
444	1347	1974
445	1350	1971
446	1353	1968
447	1356	1965
448	1359	1961
449	1362	1958
450	1364	1954
451	1367	1951
452	1370	1948
453	1374	1946
454	1376	1942
455	1380	1940
456	1383	1937
457	1386	1934
458	1389	1931
459	1392	1928
460	1395	1925
461	1398	1922
462	1401	1918
463	1404	1915
464	1407	1912
465	1410	1909
466	1413	1906
467	1416	1903
468	1419	1900
469	1422	1897
470	1425	1894
471	1428	1891
472	1431	1887
473	1434	1884
474	1436	1881
475	1439	1878
476	1442	1875
477	1445	1871
478	1448	1868
479	1451	1865
480	1454	1862
481	1457	1859
482	1460	1856
483	1463	1854
484	1466	1850
485	1469	1847
486	1472	1844
487	1475	1840
488	1478	1838
489	1481	1834
490	1485	1833
491	1488	1829
492	1490	1826
493	1493	1823
494	1496	1820
495	1499	1817
496	1503	1814
497	1506	1811
498	1510	1809
499	1512	1806
500	1515	1803
501	1518	1799
502	1521	1796
503	1524	1793
504	1527	1790
505	1530	1787
506	1533	1784
507	1536	1780
508	1538	1777
509	1541	1774
510	1544	1770
511	1546	1767
512	1550	1765
513	1553	1762
514	1556	1758
515	1559	1755
516	1562	1752
517	1564	1748
518	1567	1745
519	1570	1742
520	1573	1739
521	1576	1736
522	1579	1733
523	1581	1729
524	1584	1726
525	1587	1723
526	1590	1720
527	1593	1717
528	1596	1714
529	1599	1711
530	1602	1708
531	1605	1704
532	1608	1701
533	1611	1698
534	1613	1695
535	1616	1692
536	1619	1688
537	1622	1685
538	1625	1682
539	1628	1679
540	1630	1676
541	1633	1673
542	1636	1669
543	1639	1666
544	1642	1663
545	1645	1660
546	1648	1657
547	1651	1654
548	1654	1651
549	1657	1648
550	1660	1645
551	1663	1642
552	1666	1639
553	1669	1636
554	1672	1633
555	1675	1630
556	1678	1627
557	1681	1624
558	1684	1620
559	1686	1617
560	1689	1614
561	1692	1611
562	1696	1608
563	1699	1605
564	1702	1602
565	1705	1599
566	1708	1596
567	1711	1593
568	1714	1590
569	1717	1587
570	1720	1584
571	1723	1581
572	1726	1578
573	1728	1575
574	1731	1572
575	1734	1569
576	1737	1566
577	1740	1563
578	1743	1560
579	1746	1557
580	1749	1553
581	1752	1550
582	1755	1547
583	1758	1544
584	1761	1541
585	1764	1538
586	1767	1535
587	1770	1532
588	1772	1529
589	1775	1525
590	1778	1522
591	1781	1519
592	1784	1516
593	1788	1514
594	1790	1510
595	1793	1507
596	1796	1504
597	1799	1501
598	1802	1498
599	1805	1495
600	1807	1492
601	1810	1488
602	1813	1485
603	1816	1482
604	1819	1479
605	1822	1476
606	1825	1473
607	1828	1470
608	1830	1467
609	1833	1464
610	1836	1461
611	1839	1457
612	1842	1454
613	1845	1451
614	1848	1448
615	1851	1445
616	1854	1442
617	1857	1439
618	1860	1436
619	1863	1433
620	1866	1430
621	1869	1427
622	1872	1424
623	1876	1422
624	1879	1419
625	1882	1416
626	1885	1413
627	1888	1410
628	1891	1407
629	1894	1404
630	1897	1401
631	1900	1398
632	1903	1395
633	1906	1392
634	1909	1388
635	1912	1386
636	1915	1382
637	1918	1379
638	1920	1376
639	1923	1373
640	1926	1370
641	1929	1367
642	1932	1364
643	1935	1361
644	1938	1358
645	1941	1355
